org:role;slp:resource_uri;org:postIn
4fc02a71-ac8b-4363-a1a4-0312c97a9d87;7ae0a9a1-4691-4b1e-9290-2fbca4915bd3;7b2138a6-df61-11e7-baf1-c82a144c0a85
540ee9d8-bfb2-4dd8-96a6-23a06df3f580;934bc7d7-f725-49a1-98d6-ca218304511e;7b2139c8-df61-11e7-8d64-c82a144c0a85
97757a8e-7409-41f1-924d-217d90d814b2;56fa306a-9573-40cb-a6fa-e34bc367bd62;7b1a2ee4-df61-11e7-a2f6-c82a144c0a85
a1044982-1a40-44b1-9201-2e1762b24db7;d3ee9e18-d516-41d3-ade9-cf03efa0f06b;7b20e8d8-df61-11e7-8928-c82a144c0a85
a041bd88-f9bf-475b-8cce-8db10c4ea5eb;3c255e94-bb7a-4603-9d02-0abdda8e84aa;7b210cfa-df61-11e7-9864-c82a144c0a85
a44ce5d6-3a58-45e6-b625-fa4761fbcb37;f099ebec-344e-4c74-ac9b-6e321d4bf545;7b20ed7e-df61-11e7-bb65-c82a144c0a85
629c5cee-49da-42ff-a76b-bd0dfa68fa30;33e56f00-631d-4d4c-8f4f-eb589a19508e;7b20e8d8-df61-11e7-8928-c82a144c0a85
33b56125-3d82-4a41-8091-e8c68f83ff03;4e734f86-e91b-4a0d-89e8-5d4a0053e323;7b2138a6-df61-11e7-baf1-c82a144c0a85
8d21ef6e-fc8c-4e17-85b0-16128cefb183;5333908a-4a86-4a93-a685-7edae3c4837e;7b210cfa-df61-11e7-9864-c82a144c0a85
71fd95b9-1bd8-4b43-9338-b6f52586a830;8fa2d3da-485c-4a3f-9665-453747c6c369;7b210070-df61-11e7-97e9-c82a144c0a85
e9846b47-dd31-4c2c-9817-f5d00029eb7c;4ba91a6c-ed53-4363-9bb2-ddc9757cb450;7b212c9e-df61-11e7-a12b-c82a144c0a85
5fbbeccc-a611-452c-9f83-e48a5aa86fda;4bcd28fb-25b1-4523-9a34-ddc15d9424ab;7b210070-df61-11e7-97e9-c82a144c0a85
7672d203-88a7-4615-b016-238a1f3ef5b6;d0bae3b3-251c-4925-9ef6-975e7dcd3d9c;7b2148e6-df61-11e7-b174-c82a144c0a85
