org:member;org:role;sen:CodigoMandato;sen:UfParlamentar;sen:finishDate;sen:startDate;slp:resource_uri
21472871-dd36-4d0c-874e-d442e3f6eb6a;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;443;PE;;2016-05-09;e9932b05-852a-446e-a4ce-51ab18351d30
21472871-dd36-4d0c-874e-d442e3f6eb6a;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;443;PE;2015-01-01;2014-11-15;0ab6250c-1305-411e-ad98-a1c2abba98f8
21472871-dd36-4d0c-874e-d442e3f6eb6a;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;443;PE;2014-07-16;2011-02-01;b1e007b9-6fe2-4440-abab-56526952585d
6b45dd59-d18c-4cf7-85f4-385b8b7400d6;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;485;SP;2017-03-06;2011-02-01;fcb59e3d-054d-49b6-a0e8-fe51b6949777
1065859f-e76a-4bad-9c44-e404e24adc54;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;474;SE;;2018-03-23;8018cc6a-d48b-4d0e-a1e5-24c8c4d467f2
1065859f-e76a-4bad-9c44-e404e24adc54;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;474;SE;2017-11-21;2011-02-01;2c9875ef-5ca7-49ae-be70-03c194bb6b53
14a3ea0b-56ba-441d-a6f1-f69a29bf3ec3;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;462;RS;;2011-02-01;10afc150-e5b6-4ed1-b5ac-a587407f6ff3
d2fd7a9e-eb01-4c1d-a326-8fbbbf5a9164;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;468;TO;;2013-12-23;c0b55c18-94a9-4f5f-85e1-183031f9f23a
d2fd7a9e-eb01-4c1d-a326-8fbbbf5a9164;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;468;TO;2013-08-07;2013-02-08;72c2b613-d4ea-4049-8908-025225a4dae6
d2fd7a9e-eb01-4c1d-a326-8fbbbf5a9164;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;468;TO;2011-08-31;2011-05-03;332803ae-9caf-4f0b-b9f3-fdd6e8f83ef8
8cc156a1-f4c9-48bb-9618-9d99ea74e454;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;495;MG;;2015-02-01;eef78b3b-0ffa-4364-bd56-9f31f4c63f83
913a73f5-16bf-48d9-b700-4e5da88ad7bd;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;485;SP;;2017-03-09;3f25ec8c-bb85-4841-83f1-5ee37d3f08b9
