cam:finishDate;cam:sigla;cam:startDate;org:member;org:role;slp:resource_uri
;DEM;;890ee311-1045-41ee-af3c-d267db92e573;f27a82b9-ad22-4bed-9ad4-ea9f1b6f8006;c5afa013-bcde-48b0-93ce-d778932311f9
;PCdoB;;e2f3d761-a44a-4bae-bdcb-ddc5b865c410;26e0ea75-39c5-42ca-b084-7475cb414c26;763f43e2-47b3-4d3e-b8fc-0e80517478fd
;REDE;;e2f3d761-a44a-4bae-bdcb-ddc5b865c410;67c3c804-0761-4695-93ec-b48ddf35855b;18c44552-8aef-42ed-bfa8-2439267d85fe
;PTB;;b22efa3d-d381-4c89-a6e3-bf92f057be3b;1dc6c961-a4c6-4d5c-ab09-243a016f32a6;c83d2546-248d-4daa-8f1e-ce02d02d7e58
;PMDB;;b22efa3d-d381-4c89-a6e3-bf92f057be3b;3271ca0b-b719-438e-9885-48bc14e239f4;c023db96-f0e3-4041-b615-22a160e8fa50
;S.PART.;;b22efa3d-d381-4c89-a6e3-bf92f057be3b;59edf87d-8305-409a-ad9c-3416d52470aa;6a1090f8-53e6-4a04-afa8-431953be1f4c
;DEM;;b22efa3d-d381-4c89-a6e3-bf92f057be3b;5f1b6d85-ccac-4ab9-a0fe-51fced57586d;3180ef51-4c36-4f98-a4b8-70cec8a349e7
;PSB;;81be1c11-327d-4965-baff-2ec0316df925;b88ba3e8-a23f-4427-a35d-52c5f4cf2234;2e7bb63e-4532-4992-a702-320c003579f9
;PP;;f3872356-c9a4-43e7-a342-1281395d1f04;1710d6d1-1421-4c95-8d77-db53f6904623;13f33c7d-a246-43a4-ae0c-6c35af0da6e0
;PSB;;52b845a2-74d8-4732-b21e-0e844e51b709;9725da60-bd76-46a7-8b72-3d87df884a97;4b3d48b0-8fdc-4e30-a46c-89ce9af1949f
;PPS;;118687ac-a58d-4f53-bc3e-aea766ff9049;87bba505-8c7e-4334-bc22-2e290a9bd308;a4a1d539-03d3-4171-85d6-b2beeda8c4ef
;PMDB;;52b945a0-5db5-44a4-b13c-61b64dd99165;c6077c6b-1a02-4bba-946a-6f7aab4d969e;7c406f45-ecb6-4e37-9560-dc9f137294ed
;PR;;3458f5a3-cf98-42f4-b46a-64bae2b3e39c;b897df6d-cf32-41f0-ae42-a5d0aed41f98;33e7dfe7-56fc-43d4-8d80-2fb0ea88b2d5
;PHS;;96277a2a-f12c-49ee-a52a-2119d7f1fa4f;b8f50273-14f0-44fe-8c76-b4a093772e43;84e46a8b-6126-4883-993f-b0d6e45147ec
;PR;;32b7704b-7ccb-42a4-9864-0d10fad81f98;c2e4a45f-07f0-49de-ba8b-a5375f957e95;94c1c566-b586-4e45-a27a-257fea09474c
