org:member;org:role;sen:DataDesfiliacao;sen:DataFiliacao;sen:SiglaPartido;slp:resource_uri
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;1995-02-01;PSDB;dbd0e48c-6169-40a2-bef1-8a3f409f6270
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2003-02-01;PT;e70f03f2-a13c-4bff-bb94-81f2d0145b47
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2011-02-03;PR;3fd4df10-6871-446e-9ad4-917174c04c2c
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2018-03-22;PDT;939689e5-23c5-48b8-b828-1f75b491e07c
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2017-12-05;2013-10-08;PMDB;1f4f92f7-ab28-4658-91ef-6c0d43e05dd0
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2013-10-07;2011-10-19;PSD;1c63067d-6156-4dc0-9646-362945350793
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2011-10-18;2007-08-02;DEM;d1669434-a2b0-4949-a558-dc8a87ede33a
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2007-08-01;2000-04-04;PFL;3ebc7634-a848-4b13-8af8-c82166c21ca4
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2007-02-01;PR;a5d0d76c-4472-41ed-9aae-840945735bfc
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2006-12-19;2005-03-31;PL;ad581335-e311-4b4a-8e7e-23700a001945
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2005-03-28;1999-02-01;PFL;b5cb24a2-cdbb-40a1-870d-8a34e8f9f8e9
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;1999-02-01;PT;50ea35e8-6e6f-40ed-a550-2271eed9ff05
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2003-02-01;PMDB;306eab3c-53b9-4a2b-920e-51d7b866d329
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2017-08-22;PODE;1108be74-79e7-40e9-a5b5-e6b45c26973a
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2017-08-21;2016-03-28;PSD;4e5c2813-6f80-4b7c-8a98-d2d00603ab3a
