cam:finishDate;cam:sigla;cam:startDate;org:member;org:role;slnp:resource_uri
;PR;;32b7704b-7ccb-42a4-9864-0d10fad81f98;6a688541-b16a-45ca-8aa9-fa700373279f;94c1c566-b586-4e45-a27a-257fea09474c
;PDT;;f1c42f04-a2fd-4602-a9fb-3bf2ec66dd05;6a688541-b16a-45ca-8aa9-fa700373279f;fa2abf0b-4377-4ab9-8f93-e559e4fc88aa
;PMDB;;a1aca44b-e25f-4ffa-ba8c-a2280445731d;6a688541-b16a-45ca-8aa9-fa700373279f;b8cbfaa3-aa67-49c1-9571-20ccce562d82
;PSDB;;8f7f8f69-5235-4e9d-a884-ce61d75fd613;6a688541-b16a-45ca-8aa9-fa700373279f;bf2b66f7-7d42-461c-8640-648d0f05b934
;PP;;0685388c-49fd-42f8-a945-080138e67328;6a688541-b16a-45ca-8aa9-fa700373279f;ba4a42c5-b2a4-4b75-b764-2c53c23bb485
;PSC;;f82dcb07-a11b-4620-a5ec-9d7784a861ed;6a688541-b16a-45ca-8aa9-fa700373279f;fd81716c-f9d2-444b-a8a7-647bc21ab68b
;PODE;;f82dcb07-a11b-4620-a5ec-9d7784a861ed;6a688541-b16a-45ca-8aa9-fa700373279f;6e7db39f-ae7b-4e12-8247-c46c8df3916f
;PT;;8e861e50-2971-4725-baf8-4c9cf847a7de;6a688541-b16a-45ca-8aa9-fa700373279f;2e9fd34e-3ea7-4307-8fbe-ca3744479925
;PDT;;81f5e736-f84f-44c6-8f63-f64947aadcc4;6a688541-b16a-45ca-8aa9-fa700373279f;c1523af9-9997-439c-8225-10be879d38bb
;SD;;413a3ac3-bcd0-4bb9-9b49-b03ce2014e06;6a688541-b16a-45ca-8aa9-fa700373279f;c10aaca2-e557-4cdd-890b-e4cbd3e5b48a
;PP;;47b1d74b-bd7c-4468-982d-bd1d392136bc;6a688541-b16a-45ca-8aa9-fa700373279f;b770b3b5-2360-49ec-9177-1e51670f1d1f
;PP;;303105e6-55c1-40f0-aa82-b96dc7db0124;6a688541-b16a-45ca-8aa9-fa700373279f;5fb193ba-e18e-409c-a001-d2e630fa71f1
;PRB;;dc487c48-3d09-4709-a107-2b1fabe26f6a;6a688541-b16a-45ca-8aa9-fa700373279f;09b0cdb3-9d14-446e-9155-73e1ead530fb
;DEM;;dc487c48-3d09-4709-a107-2b1fabe26f6a;6a688541-b16a-45ca-8aa9-fa700373279f;3839676a-e3ee-4607-910f-e2f99c3cee3e
;PP;;6352fe51-c310-409c-82f4-088130e6973d;6a688541-b16a-45ca-8aa9-fa700373279f;13a274ae-bac5-415c-a937-456c2c97b7ae
;PSDB;;2b913d98-5ab3-4605-937d-ec26e40f09c7;6a688541-b16a-45ca-8aa9-fa700373279f;b29c379c-89d4-4610-b472-f8b8f3d927f7
;PMDB;;c1a77e59-28c2-4b3b-9851-d6ea8f98a8e4;6a688541-b16a-45ca-8aa9-fa700373279f;8459e5a1-faa4-40a4-916d-167f335df42a
;PTB;;74ae0424-4c3c-4615-b404-7a725b15c9ba;6a688541-b16a-45ca-8aa9-fa700373279f;254deaf0-a1d2-4dc3-a02f-fd169faeed39
