finishDate;org:member;org:role;resource_uri;role;startDate
;4361d273-5947-4597-adee-f3add02a12f3;6a688541-b16a-45ca-8aa9-fa700373279f;c8681146-c0f4-46bc-bcfc-07a84a58e0a2;6a688541-b16a-45ca-8aa9-fa700373279f;2007-02-01
;d0fac895-d8ef-48b1-bb9d-5f5170fee734;6a688541-b16a-45ca-8aa9-fa700373279f;b46d90a7-21ed-4523-9ca1-a51a91983a69;6a688541-b16a-45ca-8aa9-fa700373279f;2007-04-24
2007-04-23;d0fac895-d8ef-48b1-bb9d-5f5170fee734;6a688541-b16a-45ca-8aa9-fa700373279f;ef5f2c45-af1b-4341-9d9e-997db5827089;6a688541-b16a-45ca-8aa9-fa700373279f;1999-02-01
;6b04c2d2-6249-4302-a9c5-5a0e28cff224;6a688541-b16a-45ca-8aa9-fa700373279f;1ae41b4f-47c6-4e76-8c89-ad343084d278;6a688541-b16a-45ca-8aa9-fa700373279f;2011-02-03
;9142f343-a65b-4676-9e85-b776fcecce4e;6a688541-b16a-45ca-8aa9-fa700373279f;3e4daef1-eaa7-4990-8e59-0ffa44d3c427;6a688541-b16a-45ca-8aa9-fa700373279f;2017-10-04
2017-09-28;9142f343-a65b-4676-9e85-b776fcecce4e;6a688541-b16a-45ca-8aa9-fa700373279f;7579bb48-a748-448f-9b5b-87cec2e1ed14;6a688541-b16a-45ca-8aa9-fa700373279f;2015-02-01
2011-01-31;9142f343-a65b-4676-9e85-b776fcecce4e;6a688541-b16a-45ca-8aa9-fa700373279f;2b5826a7-ae20-4c7a-a2eb-797930b4fa1e;6a688541-b16a-45ca-8aa9-fa700373279f;1999-02-01
;dc60217c-0d92-44a0-a210-7a8b0bd5f672;6a688541-b16a-45ca-8aa9-fa700373279f;3562165d-5147-40dd-89ac-d1883502e3c7;6a688541-b16a-45ca-8aa9-fa700373279f;1995-02-01
;8cf10beb-42e1-41b0-8791-6d84cc16558d;6a688541-b16a-45ca-8aa9-fa700373279f;0e316211-2c8f-4509-b5a1-1eacf3e3584d;6a688541-b16a-45ca-8aa9-fa700373279f;2011-02-03
;e8b11aad-a268-4b52-8b38-b4e8eb0d808e;6a688541-b16a-45ca-8aa9-fa700373279f;b8957132-5cfe-4394-b009-1a033f852e44;6a688541-b16a-45ca-8aa9-fa700373279f;2015-11-11
2015-11-10;e8b11aad-a268-4b52-8b38-b4e8eb0d808e;6a688541-b16a-45ca-8aa9-fa700373279f;edc9d6ad-2b75-451f-9c86-cd8497a68d86;6a688541-b16a-45ca-8aa9-fa700373279f;2015-02-01
;67467a48-f2a7-4ba6-90af-5d07e0692a81;6a688541-b16a-45ca-8aa9-fa700373279f;f06164e9-150b-4838-b2ff-93545b652b90;6a688541-b16a-45ca-8aa9-fa700373279f;2016-03-01
2016-02-03;67467a48-f2a7-4ba6-90af-5d07e0692a81;6a688541-b16a-45ca-8aa9-fa700373279f;95f92a08-cf35-4460-9eeb-799200ce3f08;6a688541-b16a-45ca-8aa9-fa700373279f;2011-01-27
2011-01-26;67467a48-f2a7-4ba6-90af-5d07e0692a81;6a688541-b16a-45ca-8aa9-fa700373279f;b9804fbc-94aa-411c-9a9a-5d6379990004;6a688541-b16a-45ca-8aa9-fa700373279f;2001-06-22
2001-06-21;67467a48-f2a7-4ba6-90af-5d07e0692a81;6a688541-b16a-45ca-8aa9-fa700373279f;7efbfcbe-a522-4db1-a9b9-8ac5cd6893a0;6a688541-b16a-45ca-8aa9-fa700373279f;1999-02-01
2016-02-17;ac1e4ec6-8f3c-420d-b07f-e652eaace968;6a688541-b16a-45ca-8aa9-fa700373279f;f3424ebf-f57d-40e5-93cb-3d6e0468cf5e;6a688541-b16a-45ca-8aa9-fa700373279f;2011-02-01
;22c978c0-fdf6-4cce-be19-f4f46770718c;6a688541-b16a-45ca-8aa9-fa700373279f;5beaedc2-2aaf-46aa-a52c-37ea49b66368;6a688541-b16a-45ca-8aa9-fa700373279f;1995-02-01
;01760840-8d85-4a14-ae7f-c5b78fb57df5;6a688541-b16a-45ca-8aa9-fa700373279f;cecda670-3491-4059-97fc-ed919a7f75bd;6a688541-b16a-45ca-8aa9-fa700373279f;2011-02-03
;5e973d44-2731-4a1a-9879-32fa13dfdeb8;6a688541-b16a-45ca-8aa9-fa700373279f;1934a145-beae-4960-be33-7d4bed479421;6a688541-b16a-45ca-8aa9-fa700373279f;2018-02-26
2018-02-25;5e973d44-2731-4a1a-9879-32fa13dfdeb8;6a688541-b16a-45ca-8aa9-fa700373279f;48d9ac22-d13c-4ac7-9233-cfbcf4e04a2a;6a688541-b16a-45ca-8aa9-fa700373279f;2011-02-03
;8eedb3bf-8e87-459a-9b0a-3ddf53a0e9e1;6a688541-b16a-45ca-8aa9-fa700373279f;92735070-ca57-40a8-b3d2-8ae0191c1ee3;6a688541-b16a-45ca-8aa9-fa700373279f;2015-09-29
2015-09-28;8eedb3bf-8e87-459a-9b0a-3ddf53a0e9e1;6a688541-b16a-45ca-8aa9-fa700373279f;9229a5d8-8164-4ae9-af80-467a1a4d9dc8;6a688541-b16a-45ca-8aa9-fa700373279f;2011-01-28
;06dd3d2f-c068-4e90-92b5-f122b12b5fc7;6a688541-b16a-45ca-8aa9-fa700373279f;f2279b04-dc74-4574-97e0-433f24d5a868;6a688541-b16a-45ca-8aa9-fa700373279f;2011-02-03
;bbffdcfb-9793-47a4-844f-43c419235286;6a688541-b16a-45ca-8aa9-fa700373279f;32d022ff-3136-4e91-9ba9-dad80798d96e;6a688541-b16a-45ca-8aa9-fa700373279f;2011-02-03
