sen:CodigoParlamentar;sen:NomeCompletoParlamentar;sen:NomeParlamentar;slp:resource_uri
5168;Aristavora de Souza Santos;Aristavora de Souza Santos;a0c7ac6d-bb8b-4afc-a16b-f62c8ff8384b
5134;Antônio Marcos Gavazzoni;Antônio Marcos Gavazzoni;e5267c6b-b5b9-4638-a01c-5c3a8306b2dc
5150;Antonio Carlos Rodrigues;Antonio Carlos Rodrigues;a4857802-9440-4506-82ca-f30aaa01c6e7
3;Antonio Carlos Valadares;Antonio Carlos Valadares;24a26a21-f542-41b3-b5b6-f75512e7cedc
5032;Antônio Milton Pessoa Falcão Filho;Antônio Milton Pessoa Falcão Filho;3674dce2-3d4b-4c68-96cd-5cda86863932
4988;Ana Amélia de Lemos;Ana Amélia;c6a1c366-bd2c-4687-83d7-692ddbe69451
5046;Andrelina Barbosa da Cunha;Andrelina Barbosa da Cunha;eabcaf73-2beb-4353-a023-4149ebf1d5b4
5529;Antonio Augusto Junho Anastasia;Antonio Anastasia;cbc8b45f-ae04-4539-a1ab-048c34c1507d
5042;Alzira Ferreira Barros;Alzira Ferreira Barros;ff3dce76-0bda-4eb6-a36f-370e948a9f92
5607;Maria Alzenir Porto da Costa;Alzenir Porto;8a8dc7ca-fe5e-4217-829b-d0f668ca4b96
945;Alvaro Fernandes Dias;Alvaro Dias;427c704b-c7c4-4c16-b2a2-be0c79218745
4610;Alexandre Silveira de Oliveira;Alexandre Silveira;7cfdddbb-14d2-4ec2-aab3-9aaab1c1300f
846;Aloysio Nunes Ferreira Filho;Aloysio Nunes Ferreira;55bc5a4a-e7f0-417b-9f47-dafd3e1f152b
