slnp:resource_uri;cam:dataFalecimento;cam:dataNascimento;cam:ideCadastro;cam:nomeCivil;cam:nomeParlamentarAtual;sen:CodigoParlamentar;sen:NomeCompletoParlamentar;sen:NomeParlamentar
933133f2-2590-4396-a332-158f0a7fd841;;1962-10-06;164360.0;CARMEN EMÍLIA BONFÁ ZANOTTO;CARMEN ZANOTTO;;;
bcb371e8-0fc6-46cd-8b68-c5d034272463;;1959-09-19;178876.0;CELIO ANTONIO DA SILVEIRA;CÉLIO SILVEIRA;;;
fb0e038c-ccc4-48e0-bcbb-1e1cf8626435;;1957-01-19;73568.0;CELSO ALENCAR RAMOS JACOB;CELSO JACOB;;;
3b2fc188-dcd8-4c6d-8087-81b7957ecf69;;1972-06-13;178962.0;ANTONIO CARLOS GOMES DA SILVA;CARLOS GOMES;;;
5865051e-5f41-489f-936d-392ffaef3b7c;;1940-04-23;74474.0;CARLOS EDUARDO CINTRA DA COSTA PEREIRA;CARLOS EDUARDO CADOCA;;;
810e2551-42d3-4b83-bf66-90a83b4d49ad;;1964-09-26;178958.0;CARLOS AUGUSTO ANDRADE SILVA;CARLOS ANDRADE;;;
badbf483-2dd5-43e5-b046-4f5a2a3779b4;;1972-12-31;178924.0;FABIO ABREU COSTA;CAPITÃO FÁBIO ABREU;;;
be6ba8f2-2ee4-4ba1-be69-b95aea615561;;1966-10-04;178829.0;JOSE AUGUSTO ROSA;CAPITÃO AUGUSTO;;;
7f41dea1-3c10-4ce6-b6d1-0ec6b28e9de0;;1959-06-08;141398.0;CARLOS ALBERTO ROLIM ZARATTINI;CARLOS ZARATTINI;;;
f8fd57e7-1938-4cc7-b1b6-027ce3157bf2;;1936-07-10;194258.0;CLEUZA PEREIRA DO NASCIMENTO;CREUZA PEREIRA;;;
e3cfe928-06f4-4c8b-a46a-bc248baf9237;;1986-08-21;178891.0;CAIO NARCIO RODRIGUES DA SILVEIRA;CAIO NARCIO;;;
899ec03c-b0aa-4693-b0d6-f9563c4fb7d3;;1954-09-23;178853.0;LUIZ CARLOS CAETANO;CAETANO;;;
7137a096-45f6-4c0a-89c0-df1111192c8c;;1965-11-16;194261.0;CAJAR ONESIMO RIBEIRO NARDES;CAJAR NARDES;;;
4904cfcc-3201-4641-bdc6-5e6693c7b001;;1989-08-21;178999.0;BRUNIELE FERREIRA GOMES;BRUNNY;;;
41ec398d-d5cc-4d2a-974b-23ea75f4b666;;1983-04-28;160589.0;BRUNA DIAS FURLAN;BRUNA FURLAN;;;
651a6cf6-626e-4469-9af6-374c86a6efdd;;1930-05-14;74650.0;BONIFÁCIO JOSÉ TAMM DE ANDRADA;BONIFÁCIO DE ANDRADA;;;
